company_name,location,industry,company_size,year_founded,company_type,enrichment_status,domain,website,ceo_name,ceo_title,ceo_email,ceo_phone,ceo_linkedin,general_email,business_phone,all_emails,all_phones,linkedin_company_url,decision_makers,ceo_sources,pages_scraped,errors
Kanotekk Engineering Consultants Pvt. Ltd.,"Kochi, Kerala, India, Asia",Oil and Gas,1,2019,Privately Held,domain_not_found,,,,,,,,,,,,,,"serp:""Kanotekk Engineering Consultants Pvt. Ltd."" CEO K|Neujahr – Wikipedia | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" CEO K|Neujahrsfest – Wikipedia | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" CEO K|Neujahr (Feiertag Deutschland) | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" CEO K|Neujahr: Traditionen, Bräuche und Bedeutungen des neuen Jahres | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" CEO K|Neujahr am 1. Januar - Bedeutung & Bräuche | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" CEO K|Neujahr 2027 - Datum, Bräuche und Entstehung - Kalender-Uhrzeit.de | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" CEO K|Neujahr: Traditionen und Bräuche in Deutschland | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" CEO K|Seit wann beginnt das neue Jahr am 1. Januar? - ARD-alpha",0,domain_not_found
PhyEcoSyS Pvt. Ltd.,"Kochi, Kerala, India, Asia",Biotechnology Research,6,2025,Privately Held,domain_not_found,,,,,,,,,,,,,,"serp:""PhyEcoSyS Pvt. Ltd."" CEO Kochi|Sign in - Google Accounts | serp:""PhyEcoSyS Pvt. Ltd."" CEO Kochi|Sign in - Google Accounts | serp:""PhyEcoSyS Pvt. Ltd."" CEO Kochi|Google Chrome – Download the fast, secure browser from Google | serp:""PhyEcoSyS Pvt. Ltd."" CEO Kochi|Google Images | serp:""PhyEcoSyS Pvt. Ltd."" CEO Kochi|Google Chrome - The Fast & Secure Web Browser Built to be Yours | serp:""PhyEcoSyS Pvt. Ltd."" CEO Kochi|Welcome to My Activity | serp:""PhyEcoSyS Pvt. Ltd."" CEO Kochi|Google Drive - Sign in | serp:""PhyEcoSyS Pvt. Ltd."" CEO Kochi|Google News",0,domain_not_found
SREELAKSHMI ENERGY SYSTEM PVT. LTD.,"Kochi, Kerala, India, Asia",Oil and Gas,89,2006,Privately Held,domain_not_found,,,,,,,,,,,,,,"serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" CEO Kochi|除草剤のバスタ | BASFジャパンアグロソリューション | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" CEO Kochi|6. 希釈について | BASF除草剤 バスタ | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" CEO Kochi|2. 効果について | BASF除草剤 バスタ | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" CEO Kochi|はじめてのバスタ | BASF除草剤 バスタ | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" CEO Kochi|5. 散布方法について | BASF除草剤 バスタ | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" CEO Kochi|バスタ®瓦版（かわらばん） | BASF除草剤 バスタ | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" CEO Kochi|幅広い種類の雑草に効果が高い | BASF除草剤 バスタ | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" CEO Kochi|登録作物 | BASF除草剤 バスタ",0,domain_not_found
Ecodew,"Kochi, Kerala, India, Asia",Chemical Manufacturing,11,2018,Privately Held,enriched,ecodew.solutions,https://ecodew.solutions,,,,+919020661101,,,+919020661101,,+919020661101; +917861291378; +917866365617; +917866590037; +917326059369; +916426924975; +916392225580; +916821139436; +917199518043; +919820668892; +916927417285,https://www.linkedin.com/company/ecodew,,"serp:""Ecodew"" CEO Kochi|Bokep Porn - Indo Bokep & Bokep Indo Videos - EPORNER | serp:""Ecodew"" CEO Kochi|Bokep Indo - BokepLik | serp:""Ecodew"" CEO Kochi|Indo Porn - Indo Bokep & Bokep Indo Videos - EPORNER | serp:""Ecodew"" CEO Kochi|Indonesian porn videos | free ️ vids @ Tiava | serp:""Ecodew"" CEO Kochi|Bokep Indonesia | Streaming Bokep Full Video | NOBOKEP | serp:""Ecodew"" CEO Kochi|KingBokep TV - Situs Bokep Indo Terbaru dan Terlengkap | serp:""Ecodew"" CEO Kochi|Koleksi Bokep - Koleksi Bokep Terlengkap Indonesia | Nonton Streaming ... | serp:""Ecodew"" CEO Kochi|Koleksi video bokep indo 18+ kualitas HD – BOKEPIDAMAN.COM",5,
Merit Biolabs,"Kochi, Kerala, India, Asia",Biotechnology Research,29,,Privately Held,domain_not_found,,,,,,,,,,,,https://www.linkedin.com/company/mohyal-educational-research-institute-of-technology,,"serp:""Merit Biolabs"" CEO Kochi|IPO GMP Today, Live IPO Grey Market Premium Price | serp:""Merit Biolabs"" CEO Kochi|Shree Ram Twistex IPO GMP Today - Live Grey Market Premium India | IPOwiz | serp:""Merit Biolabs"" CEO Kochi|IPO GMP Today Live | Upcoming IPO 2026 | IPORise | serp:""Merit Biolabs"" CEO Kochi|Shree Ram Twistex IPO GMP, Grey Market Premium Today | serp:""Merit Biolabs"" CEO Kochi|Shree Ram Twistex IPO GMP Today - Live Grey Market Premium | serp:""Merit Biolabs"" CEO Kochi|Latest IPO GMP Today (Live IPO Grey Market Premium) | serp:""Merit Biolabs"" CEO Kochi|Shree Ram Twistex IPO GMP Today, Price Band, Allotment Status | serp:""Merit Biolabs"" CEO Kochi|Shree Ram Twistex IPO GMP Today: Latest Grey Market Premium & Estimated ...",4,qa_rejected_domain:merit.ac.in
GENESPEC PRIVATE LIMITED,"Kochi, Kerala, India, Asia",Biotechnology Research,8,2022,Privately Held,enriched,genespec.com,https://genespec.com,,,,+919744233433,,info@genespec.com,+919744233433,info@genespec.com,+919744233433; +917907191205; +918904852725; +917326059369; +919501376977; +916392225584; +917035086572,,,"serp:""GENESPEC PRIVATE LIMITED"" CEO Kochi|GENESPEC | COMPLETE GENOMICS SOLUTION | serp:""GENESPEC PRIVATE LIMITED"" CEO Kochi|Next-Gen (NGS) Services - GENESPEC | serp:""GENESPEC PRIVATE LIMITED"" CEO Kochi|Sign In - GENESPEC LIMS | serp:""GENESPEC PRIVATE LIMITED"" CEO Kochi|GENESPEC | CONTACT US | serp:""GENESPEC PRIVATE LIMITED"" CEO Kochi|Sanger Sequencing - GENESPEC | serp:""GENESPEC PRIVATE LIMITED"" CEO Kochi|GENESPEC PRIVATE LIMITED | LinkedIn | serp:""GENESPEC PRIVATE LIMITED"" CEO Kochi|GENESPEC | BIOINFORMATICS | serp:""GENESPEC PRIVATE LIMITED"" CEO Kochi|GENESPEC PRIVATE LIMITED Details | Company Profile | Directors Profile ...",3,
De Staco Turnkey Solutions LLP,"Kochi, Kerala, India, Asia",Oil and Gas,27,2019,Partnership,enriched,destaco.com,https://destaco.com,,,,+918382949752,,,+918382949752,,+918382949752; +917775145710; +916686232459; +919693902087; +917271926023; +918224571963; +917326059369; +916392225589; +916609886236; +919698203845; +916848444486; +917824897966; +916201452101,https://www.linkedin.com/company/destaco,,"serp:""De Staco Turnkey Solutions LLP"" CEO Kochi|DE- | English meaning - Cambridge Dictionary | serp:""De Staco Turnkey Solutions LLP"" CEO Kochi|110 Prefix DE Words (Real Examples, Free PDF + Video) | serp:""De Staco Turnkey Solutions LLP"" CEO Kochi|Google | serp:""De Staco Turnkey Solutions LLP"" CEO Kochi|DE Definition & Meaning | Dictionary.com | serp:""De Staco Turnkey Solutions LLP"" CEO Kochi|De Prefix: Meaning and Examples of the Prefix De - 7ESL | serp:""De Staco Turnkey Solutions LLP"" CEO Kochi|De (2020) - IMDb | serp:""De Staco Turnkey Solutions LLP"" CEO Kochi|de- prefix - Definition, pictures, pronunciation and usage notes ... | serp:""De Staco Turnkey Solutions LLP"" CEO Kochi|de- - Wiktionary, the free dictionary",8,
Thinkbizz Ventures LLP,"Kochi, Kerala, India, Asia",Pharmaceutical Manufacturing,3,2015,Privately Held,domain_not_found,,,,,,,,,,,,,,"serp:""Thinkbizz Ventures LLP"" CEO Kochi|Anmelden bei Hotmail | Microsoft Support | serp:""Thinkbizz Ventures LLP"" CEO Kochi|Released: June 2026 Exchange Server Security Updates | Microsoft ... | serp:""Thinkbizz Ventures LLP"" CEO Kochi|What’s New in Microsoft 365 Copilot | June 2026 | Microsoft Community Hub | serp:""Thinkbizz Ventures LLP"" CEO Kochi|Turn sound effects on or off in Outlook | Microsoft Support | serp:""Thinkbizz Ventures LLP"" CEO Kochi|Remove a page break in Word | Microsoft Support | serp:""Thinkbizz Ventures LLP"" CEO Kochi|Close your Outlook.com account | Microsoft Support | serp:""Thinkbizz Ventures LLP"" CEO Kochi|What's New in Excel (January 2026) | Microsoft Community Hub | serp:""Thinkbizz Ventures LLP"" CEO Kochi|BitLocker overview | Microsoft Support",0,domain_not_found
Biosix Peptides India Pvt. Ltd.,"Kochi, Kerala, India, Asia",Chemical Manufacturing,3,2009,Partnership,domain_not_found,,,,,,,,,,,,,,"serp:""Biosix Peptides India Pvt. Ltd."" CEO Kochi|Bangladeshi porn videos | free ️ vids @ Tiava | serp:""Biosix Peptides India Pvt. Ltd."" CEO Kochi|Bangla Porn Videos: Sexy Bangladeshi Girls | xHamster | serp:""Biosix Peptides India Pvt. Ltd."" CEO Kochi|Bangladeshi Sex Videos & Free Bengali Tube - MyDesi HD | serp:""Biosix Peptides India Pvt. Ltd."" CEO Kochi|Bangla sex - Real Bangladeshi sex video and new BD porn | serp:""Biosix Peptides India Pvt. Ltd."" CEO Kochi|বাংলা ভাষায় সেক্স ভিডিও / Porn in Bengali: Sex Videos Featuring ... | serp:""Biosix Peptides India Pvt. Ltd."" CEO Kochi|Bangladeshi sex Porn Videos - iWank XXX | serp:""Biosix Peptides India Pvt. Ltd."" CEO Kochi|Bangladeshi village girl group sex in outdoor setting | serp:""Biosix Peptides India Pvt. Ltd."" CEO Kochi|Bangladeshi Porn - Bangladeshi Girl & Bangladeshi Bhabi Videos - EPORNER",0,domain_not_found
ANTS Lifecare Pvt. Ltd.,"Kochi, Kerala, India, Asia",Biotechnology Research,14,,Privately Held,domain_not_found,,,,,,,,,,,,,,"serp:""ANTS Lifecare Pvt. Ltd."" CEO Kochi|Ant - Wikipedia | serp:""ANTS Lifecare Pvt. Ltd."" CEO Kochi|Ant | Description, Taxonomy, Habitat, Species, Life Cycle, & Facts ... | serp:""ANTS Lifecare Pvt. Ltd."" CEO Kochi|Ant - Types, Size, Anatomy, Habitat, Life Cycle, Lifespan, & Pictures | serp:""ANTS Lifecare Pvt. Ltd."" CEO Kochi|Accueil - France Titres (ANTS) | serp:""ANTS Lifecare Pvt. Ltd."" CEO Kochi|Ant - Simple English Wikipedia, the free encyclopedia | serp:""ANTS Lifecare Pvt. Ltd."" CEO Kochi|Ants, facts and information - National Geographic | serp:""ANTS Lifecare Pvt. Ltd."" CEO Kochi|Ant colony - Wikipedia | serp:""ANTS Lifecare Pvt. Ltd."" CEO Kochi|ANTS Ver 1.0",3,qa_rejected_domain:ants.andamannicobar.gov.in
