company_name,location,industry,company_size,year_founded,company_type,enrichment_status,domain,website,ceo_name,ceo_title,ceo_email,ceo_phone,ceo_linkedin,general_email,business_phone,all_emails,all_phones,linkedin_company_url,decision_makers,sources
Kanotekk Engineering Consultants Pvt. Ltd.,"Kochi, Kerala, India, Asia",Oil and Gas,1,2019,Privately Held,domain_not_found,,,,,,,,,,,,,OR OR|SERP,"serp:""Kanotekk Engineering Consultants Pvt. Ltd."" Kochi (CEO OR "" | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" Kochi email OR  | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" site:zaubacorp. | page:https://www.bing.com/?scope=web&cc=IN | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" site:thecompany | page:https://www.bing.com/?scope=web&cc=IN | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" site:indiamart. | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" site:justdial.c | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" site:linkedin.c | serp:""Kanotekk Engineering Consultants Pvt. Ltd."" site:linkedin.c"
PhyEcoSyS Pvt. Ltd.,"Kochi, Kerala, India, Asia",Biotechnology Research,6,2025,Privately Held,domain_not_found,,,,,,,,,,,,,OR OR|SERP,"serp:""PhyEcoSyS Pvt. Ltd."" Kochi (CEO OR ""Managing Director"" OR F | serp:""PhyEcoSyS Pvt. Ltd."" Kochi email OR phone OR contact | serp:""PhyEcoSyS Pvt. Ltd."" site:zaubacorp.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""PhyEcoSyS Pvt. Ltd."" site:thecompanycheck.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""PhyEcoSyS Pvt. Ltd."" site:indiamart.com | serp:""PhyEcoSyS Pvt. Ltd."" site:justdial.com Kochi | serp:""PhyEcoSyS Pvt. Ltd."" site:linkedin.com/in | serp:""PhyEcoSyS Pvt. Ltd."" site:linkedin.com/company"
SREELAKSHMI ENERGY SYSTEM PVT. LTD.,"Kochi, Kerala, India, Asia",Oil and Gas,89,2006,Privately Held,domain_not_found,,,,,,,,,,,,,OR OR|SERP,"serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" Kochi (CEO OR ""Managin | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" Kochi email OR phone O | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" site:zaubacorp.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" site:thecompanycheck.c | page:https://www.bing.com/?scope=web&cc=IN | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" site:indiamart.com | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" site:justdial.com Koch | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" site:linkedin.com/in | serp:""SREELAKSHMI ENERGY SYSTEM PVT. LTD."" site:linkedin.com/comp"
Ecodew,"Kochi, Kerala, India, Asia",Chemical Manufacturing,11,2018,Privately Held,enriched,ecodew.solutions,https://www.ecodew.solutions/,chief executive or,SERP,,+919020661101,,sales@ecodew.solutions,+919020661101,mail@ecodew.solutions; sales@ecodew.solutions,+919020661101; +919020748884; +917861291378; +917866365617; +917866590037; +916426924975; +916821139436; +917199518043,https://www.linkedin.com/company/ecodew,chief executive or|SERP; Search by EPIC No|SERP; Madhya Pradesh|SERP; Learn meaning of|SERP; Jharkhand Election|SERP,"prior_domain:ecodew.solutions | serp:""Ecodew"" Kochi (CEO OR ""Managing Director"" OR Founder OR Dir | serp:""Ecodew"" Kochi email OR phone OR contact | serp:""Ecodew"" site:zaubacorp.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""Ecodew"" site:thecompanycheck.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""Ecodew"" site:indiamart.com | serp:""Ecodew"" site:justdial.com Kochi | serp:""Ecodew"" site:linkedin.com/in | serp:""Ecodew"" site:linkedin.com/company | serp:site:ecodew.solutions (CEO OR Founder OR Director OR team OR"
Merit Biolabs,"Kochi, Kerala, India, Asia",Biotechnology Research,29,,Privately Held,domain_not_found,,,,,,,,,,,,https://www.linkedin.com/company/mohyal-educational-research-institute-of-technology,OR OR|SERP,"serp:""Merit Biolabs"" Kochi (CEO OR ""Managing Director"" OR Founder | serp:""Merit Biolabs"" Kochi email OR phone OR contact | serp:""Merit Biolabs"" site:zaubacorp.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""Merit Biolabs"" site:thecompanycheck.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""Merit Biolabs"" site:indiamart.com | serp:""Merit Biolabs"" site:justdial.com Kochi | serp:""Merit Biolabs"" site:linkedin.com/in | serp:""Merit Biolabs"" site:linkedin.com/company"
GENESPEC PRIVATE LIMITED,"Kochi, Kerala, India, Asia",Biotechnology Research,8,2022,Privately Held,enriched,genespec.com,https://www.genespec.com/,chief executive or,SERP,,+919744233433,,info@genespec.com,+919744233433,info@genespec.com,+919744233433; +917907191205; +918904852725; +919501376977; +917035086572,,chief executive or|SERP; Search by EPIC No|SERP; Madhya Pradesh|SERP; Learn meaning of|SERP; Jharkhand Election|SERP,"prior_domain:genespec.com | serp:""GENESPEC PRIVATE LIMITED"" Kochi (CEO OR ""Managing Director"" | serp:""GENESPEC PRIVATE LIMITED"" Kochi email OR phone OR contact | serp:""GENESPEC PRIVATE LIMITED"" site:zaubacorp.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""GENESPEC PRIVATE LIMITED"" site:thecompanycheck.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""GENESPEC PRIVATE LIMITED"" site:indiamart.com | serp:""GENESPEC PRIVATE LIMITED"" site:justdial.com Kochi | serp:""GENESPEC PRIVATE LIMITED"" site:linkedin.com/in | serp:""GENESPEC PRIVATE LIMITED"" site:linkedin.com/company | serp:site:genespec.com (CEO OR Founder OR Director OR team OR abo"
De Staco Turnkey Solutions LLP,"Kochi, Kerala, India, Asia",Oil and Gas,27,2019,Partnership,enriched,de-staco.com,https://de-staco.com,chief executive or,SERP,,+918921090337,,,+918921090337,,+918921090337; +918382949752; +917775145710; +916686232459; +919693902087; +917271926023; +918224571963; +916609886236,https://www.linkedin.com/company/destaco,chief executive or|SERP; Search by EPIC No|SERP; Madhya Pradesh|SERP; Learn meaning of|SERP; Jharkhand Election|SERP,"hint_verified:de-staco.com | serp:""De Staco Turnkey Solutions LLP"" Kochi (CEO OR ""Managing Dir | serp:""De Staco Turnkey Solutions LLP"" Kochi email OR phone OR con | serp:""De Staco Turnkey Solutions LLP"" site:zaubacorp.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""De Staco Turnkey Solutions LLP"" site:thecompanycheck.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""De Staco Turnkey Solutions LLP"" site:indiamart.com | serp:""De Staco Turnkey Solutions LLP"" site:justdial.com Kochi | serp:""De Staco Turnkey Solutions LLP"" site:linkedin.com/in | serp:""De Staco Turnkey Solutions LLP"" site:linkedin.com/company | serp:site:de-staco.com (CEO OR Founder OR Director OR team OR abo"
Thinkbizz Ventures LLP,"Kochi, Kerala, India, Asia",Pharmaceutical Manufacturing,3,2015,Privately Held,domain_not_found,,,,,,,,,,,,,OR OR|SERP,"serp:""Thinkbizz Ventures LLP"" Kochi (CEO OR ""Managing Director"" O | serp:""Thinkbizz Ventures LLP"" Kochi email OR phone OR contact | serp:""Thinkbizz Ventures LLP"" site:zaubacorp.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""Thinkbizz Ventures LLP"" site:thecompanycheck.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""Thinkbizz Ventures LLP"" site:indiamart.com | serp:""Thinkbizz Ventures LLP"" site:justdial.com Kochi | serp:""Thinkbizz Ventures LLP"" site:linkedin.com/in | serp:""Thinkbizz Ventures LLP"" site:linkedin.com/company"
Biosix Peptides India Pvt. Ltd.,"Kochi, Kerala, India, Asia",Chemical Manufacturing,3,2009,Partnership,partial,,,of our experienced funeral,SERP,,,,,,,,,of our experienced funeral|SERP,"serp:""Biosix Peptides India Pvt. Ltd."" Kochi (CEO OR ""Managing Di | serp:""Biosix Peptides India Pvt. Ltd."" Kochi email OR phone OR co | serp:""Biosix Peptides India Pvt. Ltd."" site:zaubacorp.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""Biosix Peptides India Pvt. Ltd."" site:thecompanycheck.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""Biosix Peptides India Pvt. Ltd."" site:indiamart.com | serp:""Biosix Peptides India Pvt. Ltd."" site:justdial.com Kochi | serp:""Biosix Peptides India Pvt. Ltd."" site:linkedin.com/in | serp:""Biosix Peptides India Pvt. Ltd."" site:linkedin.com/company"
ANTS Lifecare Pvt. Ltd.,"Kochi, Kerala, India, Asia",Biotechnology Research,14,,Privately Held,partial,,,ancestors in Creta,SERP,,,,,,,,,ancestors in Creta|SERP,"serp:""ANTS Lifecare Pvt. Ltd."" Kochi (CEO OR ""Managing Director""  | serp:""ANTS Lifecare Pvt. Ltd."" Kochi email OR phone OR contact | serp:""ANTS Lifecare Pvt. Ltd."" site:zaubacorp.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""ANTS Lifecare Pvt. Ltd."" site:thecompanycheck.com | page:https://www.bing.com/?scope=web&cc=IN | serp:""ANTS Lifecare Pvt. Ltd."" site:indiamart.com | serp:""ANTS Lifecare Pvt. Ltd."" site:justdial.com Kochi | serp:""ANTS Lifecare Pvt. Ltd."" site:linkedin.com/in | serp:""ANTS Lifecare Pvt. Ltd."" site:linkedin.com/company"
