segment,company_type_role,company_name,location,industry,ceo_name,ceo_title,ceo_email,ceo_phone,general_email,business_phone,website,domain,other_key_people,linkedin_company,confidence,sources,notes
Fertilizer / Chemicals (PSU),Manufacturer,The Fertilisers And Chemicals Travancore Ltd (FACT),"Udyogamandal / Ambalamedu, Kochi, Kerala",Fertilizer & Chemicals,S. Sakthimani,Chairman & Managing Director,cmd@factltd.com,04842545418,cmd@factltd.com,04842545418,https://fact.co.in,fact.co.in,Niranjan S. Sonak / Anupam Misra (Director Marketing — additional charge variants on site),https://www.linkedin.com/company/fertilisers-and-chemicals-travancore-limited,high,fact.co.in board/contact pages + CMD appointment news,India's first large-scale fertilizer plant; GoI PSU
Fertilizer / Organic Agri,Manufacturer + Distributor + Retail,South Indian Fertilizers (SIF),"IDA Edayar, Binanipuram, Kochi - 683502",Organic Fertilizers & Agri Inputs,R. Sunil Kumar,Managing Director / Director,sif@sif.in,+917012785820,sif@sif.in,+917012785820; +917306394194,https://sif.in,sif.in,"Group also includes Kochin Agro Nutrients & Chemicals, Geo Agro Tech, Kissan Kendra",,high,sif.in about/contact,Est. 1979; organic fertilizer pioneer in Kerala
Agriculture / Agrochemicals,Manufacturer,Biota Agro Solutions Pvt. Ltd.,"Kuttikkattukara, Kalamassery / Ernakulam, Kochi","Agrochemicals (Copper fungicides, Bordeaux mix, etc.)",Thomas Francis,Director,,+919447236768,,04843299785; 04842546776; +919447236768,,,,,medium,Public director contact listings / company directories,Copper oxychloride / sulphate / Blue Bordo products
Chemicals (Heavy / Chlor-alkali),Manufacturer (Kerala PSU),The Travancore Cochin Chemicals Ltd (TCC),"Udyogamandal, Kochi - 683501","Caustic soda, Chlorine & allied chemicals",Rajeev R (Rajeev Ramakrishnan),Managing Director,tccmd@tcckerala.com,,tccmd@tcckerala.com,,https://www.tcckerala.com,tcckerala.com,Board includes Govt. of Kerala / KSIDC nominees,https://www.linkedin.com/company/the-travancore-cochin-chemicals-ltd,high,tcckerala.com board + MCA/Zauba registry email,Only chlor-alkali unit in Kerala
Chemicals (Lab / Fine / Agro / Pharma API),Manufacturer + Distributor,Nice Chemicals Private Limited,"Manimala Road, Edappally, Kochi - 682024","Laboratory fine chemicals, specialty chemicals, agro, glassware",Venugopal Govindankutty Nair,Key executive / leadership (public directories); board includes Valsala Ramakrishnan (Wholetime Director),mail@nicechemicals.com,04842788700,mail@nicechemicals.com,04842788700-709,https://nicechemicals.com,nicechemicals.com,Valsala Ramakrishnan (Wholetime Director); Sumita Menon (Director — per filings),,high,nicechemicals.com contact + Tracxn/EasyLeadz directors,Est. 1976; strong lab-chemical brand in South India
Chemicals (Industrial / Solvents / Detergents),Manufacturer + Distributor / Trader,Cochin Petromins Pvt Ltd,"Binanipuram IDA / Ernakulam, Kochi","Industrial chemicals, solvents, thinners, detergents",Unnikrishnan R,Managing Director,md@cppl.co.in,04842555455,md@cppl.co.in,04842555455,https://cppl.co.in,cppl.co.in,,,high,cppl.co.in + MCA DIN profile (MD),Trading since 1993; manufacturing from 2011
Chemicals (Home / Industrial cleaning),Manufacturer + Distributor,KSOV Corporation,"Edappally, AIMS P.O, Kochi - 682041",Detergents / laundry & liquid wash chemicals (EKAA World),Santhosh Kumar,Proprietor / Owner,,04842801716,,04842801716; 18004253737,https://www.ksovcorporation.com,ksovcorporation.com,,https://www.linkedin.com/company/ksovcorporation,high,ksovcorporation.com contact + LinkedIn proprietor,
Chemicals (Hygiene / Detergents / Pigments),Manufacturer + Distributor,Jonarin Pigments Private Limited,"Kochi, Kerala","Home hygiene, detergents, industrial laundry chemicals",Breeze Joseph,CEO,chemicals@jonarin.com,04842345556,chemicals@jonarin.com,04842345556,,jonarin.com,Joseph Abraham Arakkathara; Treesa Joseph (Directors — public listings),https://www.linkedin.com/company/jonarin-pigments-private-limited,medium,LinkedIn CEO + public contact directories,Est. ~1976
Chemicals (Rubber chemicals / ZnO),Manufacturer + Exporter,Associated Rubber Chemicals (Kochi) Pvt Ltd,"Edappally, Kochi",Rubber chemicals / zinc oxide,,,marketing@assochem.in,04842332134,marketing@assochem.in,04842332134; 04842331768; +919349925777,,assochem.in,Public contact person listed as Arun TS on trade directories,https://www.linkedin.com/company/associated-rubber-chemicals-kochi-pvt-ltd,medium,ANRPC / trade exporter listings,Also mail@assochem.in / accounts@assochem.in cited publicly
Chemicals (Activated carbon),Manufacturer + Exporter,Indo German Carbons Limited (IGCL),"Edayar Industrial Area, Binanipuram, Kochi - 683502",Coconut-shell activated carbon,Dr. P. Mohamed Ali,Chairman (Group / Parent Galfar),info@igcl.com,04842543092,info@igcl.com,04842543092; 04842551986; 04842558106,https://www.igcl.com,igcl.com,Promoted with Galfar Engineering & Contracting (Oman),https://www.linkedin.com/company/indo-german-carbons-ltd,high,igcl.com profile page,Export-oriented activated carbon plant
