id,company,founder_name,founder_role,email,phone,website,city,category,size,employee_estimate,employee_estimate_source,platform,technologies,intent_score,grade,signal_families,strong_signals,growth_signals,buying_signals,pain_types,why,signal,subject,body,outreach_status,source
16ac70aa-3d9f-5fc3-b33c-22e8164159e3,Farmley,,,wecare@farmley.com,912852459156,https://farmley.com,New Delhi,food,,,,shopify,"['shopify', 'shiprocket']",96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,growth_motion,ops_stack,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'expansion', 'evidence': 'now available in', 'confidence': 0.75, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available']","No chatbot automation on site · Found 68 instances of return_policy references · Found 21 instances of shipping_info references · Found 109 instances of cod_available references · expansion: now available in · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Ops/CRM stack present but no chatbot automation · stack: shopify, shiprocket",live_discovery,,,ready,live_verified_enrichment
609fa021-656f-538a-b741-e7a34ff54799,Rage Coffee,,,help@ragecoffee.com,916789783217,https://ragecoffee.com,New Delhi,food,,,,shopify,"['shopify', 'meta_pixel', 'google_ads', 'razorpay', 'judgeme']",96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,growth_motion,ads_active,ops_stack,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_support_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'new_products', 'evidence': 'new launch', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: google_ads, meta_pixel', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · Found 206 instances of return_policy references · Found 52 instances of shipping_info references · Found 244 instances of cod_available references · Found 12 instances of contact_page references · new_products: new launch · advertising: Paid ads stack detected: google_ads, meta_pixel · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Ops/CRM stack present but no chatbot automation · stack: shopify, meta_pixel, google_ads, razorpay, judgeme",live_discovery,,,ready,live_verified_enrichment
d28a1978-577d-517e-9852-f45ab20422ce,Mufti Jeans,,,support@muftijeans.in,+918976869174,https://muftijeans.in,Mumbai,fashion,,,,shopify,"['shopify', 'gtm', 'shiprocket']",96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,growth_motion,ads_active,ops_stack,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_support_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'new_products', 'evidence': 'new collection', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: gtm', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · Found 317 instances of return_policy references · Found 17 instances of shipping_info references · Found 28 instances of cod_available references · Found 3 instances of contact_page references · new_products: new collection · advertising: Paid ads stack detected: gtm · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Ops/CRM stack present but no chatbot automation · stack: shopify, gtm, shiprocket",live_discovery,,,ready,live_verified_enrichment
1b0cf8a5-84f2-5a53-8af1-2baa29285189,Nua Woman,,,care@nuawoman.com,918828926608,https://nuawoman.com,Mumbai,personal care,,,,meta_pixel,"['meta_pixel', 'google_ads', 'gtm', 'shiprocket', 'whatsapp_bot']",96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,ads_active,ops_stack,whatsapp_bot_present,ops_pain,ads_plus_automation_gap,high_intent_composite,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'advertising', 'evidence': 'Paid ads stack detected: google_ads, gtm, meta_pixel', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}, {'type': 'wa_bot_without_web_chat', 'evidence': 'Has WhatsApp bot vendor but no web chatbot', 'confidence': 0.55, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · WhatsApp bot/automation vendor detected · Found 8 instances of return_policy references · Found 74 instances of shipping_info references · Found 98 instances of cod_available references · Found 1 instances of contact_page references · advertising: Paid ads stack detected: google_ads, gtm, meta_pixel · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Ops/CRM stack present but no chatbot automation · stack: meta_pixel, google_ads, gtm, shiprocket, whatsapp_bot",live_discovery,,,ready,live_verified_enrichment
2858928b-02ff-52e8-8e3e-852679ce8db6,Snugkins,,,snugkins.com@gmail.com,912421705493,https://snugkins.com,Mumbai,baby,,,,shopify,"['shopify', 'meta_pixel', 'gtm', 'shiprocket', 'razorpay', 'judgeme']",96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,hiring_intent,ads_active,ops_stack,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,phone_plus_context,live_gap_corroborated","[{'type': 'hiring', 'evidence': '/careers', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: gtm, meta_pixel', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'hiring_with_support_gap', 'evidence': 'Hiring while support automation gap exists', 'confidence': 0.92, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · Found 93 instances of return_policy references · Found 100 instances of shipping_info references · Found 91 instances of cod_available references · Found 6 instances of contact_page references · hiring: /careers · advertising: Paid ads stack detected: gtm, meta_pixel · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Hiring while support automation gap exists · stack: shopify, meta_pixel, gtm, shiprocket, razorpay, judgeme",live_discovery,,,ready,live_verified_enrichment
ff9ae95c-4137-58e3-aad2-30a6f59d9d95,Bevzilla,,,info@bevzilla.com,917180176327,https://bevzilla.com,New Delhi,food,,,,shopify,['shopify'],96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,growth_motion,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'expansion', 'evidence': 'now available in', 'confidence': 0.75, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']",No chatbot automation on site · Found 58 instances of return_policy references · Found 9 instances of shipping_info references · Found 4 instances of cod_available references · Found 4 instances of contact_page references · expansion: now available in · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · stack: shopify,live_discovery,,,ready,live_verified_enrichment
8e2b77df-8795-5c50-a806-ba23c3474b48,AND Designs,,,care@andindia.com,+91 7303030343,https://andindia.com,Mumbai,fashion,,,,gtm,['gtm'],96.0,SALES_READY,"gap,growth,live,reach,stack","growth_motion,ads_active,ops_pain,high_intent_composite,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'new_products', 'evidence': 'New collection', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: gtm', 'confidence': 0.8, 'source': 'homepage_html'}]",[],"['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']",Web chatbot present on site · Found 52 instances of return_policy references · Found 42 instances of shipping_info references · Found 34 instances of cod_available references · Found 8 instances of contact_page references · new_products: New collection · advertising: Paid ads stack detected: gtm · stack: gtm,live_discovery,,,ready,live_verified_enrichment
078307d9-c4be-5b5f-b70b-92cc42c5d0a9,WoodenStreet,,,support@woodenstreet.com,+91-9314444747,https://woodenstreet.com,Jaipur,home_decor,,,,,[],95.0,SALES_READY,"gap,growth,live,reach","chat_gap,hiring_intent,growth_motion,ops_pain,high_intent_composite,brand_support_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'hiring', 'evidence': '/careers', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'expansion', 'evidence': 'PAN INDIA', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'expansion', 'evidence': 'Pan India', 'confidence': 0.75, 'source': 'intent_page:/careers'}, {'type': 'hiring', 'evidence': 'Customer Care Executive', 'confidence': 0.85, 'source': 'intent_page:/careers'}]","[{'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'hiring_with_support_gap', 'evidence': 'Hiring while support automation gap exists', 'confidence': 0.92, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']",No chatbot automation on site · Found 23 instances of return_policy references · Found 34 instances of shipping_info references · Found 32 instances of cod_available references · Found 1 instances of contact_page references · hiring: /careers · expansion: PAN INDIA · expansion: Pan India · hiring: Customer Care Executive · Returns/COD friction without chatbot coverage · Hiring while support automation gap exists,live_discovery,,,ready,live_verified_enrichment
78edf13b-6c04-5503-a681-d6e5d6c3ed85,Open Secret,,,sayhello@opensecret.in,917711642852,https://opensecret.in,Mumbai,food,,,,shopify,"['shopify', 'meta_pixel', 'google_ads', 'gtm', 'judgeme']",96.0,SALES_READY,"gap,growth,live,stack","growth_motion,ads_active,ops_stack,ops_pain,stack_plus_gap,high_intent_composite,live_gap_corroborated","[{'type': 'expansion', 'evidence': 'now available in', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'new_products', 'evidence': 'New Launch', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: google_ads, gtm, meta_pixel', 'confidence': 0.8, 'source': 'homepage_html'}]",[],"['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","Web chatbot present on site · Found 89 instances of return_policy references · Found 173 instances of shipping_info references · Found 240 instances of cod_available references · Found 4 instances of contact_page references · expansion: now available in · new_products: New Launch · advertising: Paid ads stack detected: google_ads, gtm, meta_pixel · stack: shopify, meta_pixel, google_ads, gtm, judgeme",live_discovery,,,ready,live_verified_enrichment
fa358418-6a5b-5b16-8332-89e4dbe845e8,Sarishta,,,imagetextile@gmail.com,,https://sarishta.com,Mumbai,home_decor,,,,google_ads,['google_ads'],96.0,SALES_READY,"gap,growth,live,stack","chat_gap,ads_active,ops_pain,ads_plus_automation_gap,high_intent_composite,live_gap_corroborated","[{'type': 'advertising', 'evidence': 'Paid ads stack detected: google_ads', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info']",No chatbot automation on site · Found 3 instances of return_policy references · Found 1 instances of shipping_info references · advertising: Paid ads stack detected: google_ads · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · stack: google_ads,live_discovery,,,ready,live_verified_enrichment
