id,company,founder_name,founder_role,email,phone,website,city,category,size,employee_estimate,employee_estimate_source,platform,technologies,intent_score,grade,signal_families,strong_signals,growth_signals,buying_signals,pain_types,why,signal,subject,body,outreach_status,source
6776a130-c902-52e9-9047-63d15865d20b,Wellbeing Nutrition,,,care@wellbeingnutrition.com,919277177028,https://wellbeingnutrition.com,Mumbai,health,,,,shopify,"['shopify', 'shiprocket', 'judgeme', 'whatsapp_bot']",96.0,SALES_READY,"gap,growth,live,reach,stack","hiring_intent,funding_intent,growth_motion,ops_stack,whatsapp_bot_present,ops_pain,stack_plus_gap,high_intent_composite,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'hiring', 'evidence': '/careers', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'funding', 'evidence': 'Backed by', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'new_products', 'evidence': 'New Launch', 'confidence': 0.75, 'source': 'homepage_html'}]","[{'type': 'recent_funding_window', 'evidence': 'Funding / investor signal on site', 'confidence': 0.85, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","Web chatbot present on site · WhatsApp bot/automation vendor detected · Found 492 instances of return_policy references · Found 79 instances of shipping_info references · Found 271 instances of cod_available references · Found 2 instances of contact_page references · hiring: /careers · funding: Backed by · new_products: New Launch · Funding / investor signal on site · stack: shopify, shiprocket, judgeme, whatsapp_bot",live_discovery,,,ready,live_verified_enrichment
fd5739df-ecf1-5ecd-a1ff-2ade0fda8d4f,Setu Nutrition,,,contact@setu.in,+91-9619616335,https://setu.in,Mumbai,health,,,,shopify,"['shopify', 'meta_pixel', 'gtm', 'klaviyo', 'shiprocket']",96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,funding_intent,ads_active,ops_stack,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'funding', 'evidence': 'Backed by', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: gtm, meta_pixel', 'confidence': 0.8, 'source': 'homepage_html'}, {'type': 'funding', 'evidence': 'backed by', 'confidence': 0.75, 'source': 'intent_page:/blogs/news'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'recent_funding_window', 'evidence': 'Funding / investor signal on site', 'confidence': 0.85, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · Found 178 instances of return_policy references · Found 346 instances of shipping_info references · Found 288 instances of cod_available references · Found 2 instances of contact_page references · funding: Backed by · advertising: Paid ads stack detected: gtm, meta_pixel · funding: backed by · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Funding / investor signal on site · stack: shopify, meta_pixel, gtm, klaviyo, shiprocket",live_discovery,,,ready,live_verified_enrichment
f41eafff-f5eb-54ee-936f-bbf72499d5c8,WoodenStreet,,,care@woodenstreet.com,+91-9314444747,https://woodenstreet.com,Jaipur,home_decor,,,,,[],87.0,SALES_READY,"gap,growth,live,reach","chat_gap,hiring_intent,growth_motion,ops_pain,high_intent_composite,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'hiring', 'evidence': '/careers', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'expansion', 'evidence': 'PAN INDIA', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'expansion', 'evidence': 'Pan India', 'confidence': 0.75, 'source': 'intent_page:/careers'}, {'type': 'hiring', 'evidence': 'Customer Care Executive', 'confidence': 0.85, 'source': 'intent_page:/careers'}]","[{'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'hiring_with_support_gap', 'evidence': 'Hiring while support automation gap exists', 'confidence': 0.92, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']",No chatbot automation on site · Found 23 instances of return_policy references · Found 34 instances of shipping_info references · Found 33 instances of cod_available references · Found 1 instances of contact_page references · hiring: /careers · expansion: PAN INDIA · expansion: Pan India · hiring: Customer Care Executive · Returns/COD friction without chatbot coverage · Hiring while support automation gap exists,live_discovery,,,ready,live_verified_enrichment
609fa021-656f-538a-b741-e7a34ff54799,Rage Coffee,,,help@ragecoffee.com,916789783217,https://ragecoffee.com,New Delhi,food,,,,shopify,"['shopify', 'meta_pixel', 'google_ads', 'razorpay', 'judgeme']",96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,hiring_intent,growth_motion,ads_active,ops_stack,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_support_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'new_products', 'evidence': 'new launch', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: google_ads, meta_pixel', 'confidence': 0.8, 'source': 'homepage_html'}, {'type': 'hiring', 'evidence': 'Open Positions', 'confidence': 0.75, 'source': 'intent_page:/pages/careers'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}, {'type': 'hiring_with_support_gap', 'evidence': 'Hiring while support automation gap exists', 'confidence': 0.92, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · Found 206 instances of return_policy references · Found 52 instances of shipping_info references · Found 244 instances of cod_available references · Found 12 instances of contact_page references · new_products: new launch · advertising: Paid ads stack detected: google_ads, meta_pixel · hiring: Open Positions · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Ops/CRM stack present but no chatbot automation · stack: shopify, meta_pixel, google_ads, razorpay, judgeme",live_discovery,,,ready,live_verified_enrichment
78edf13b-6c04-5503-a681-d6e5d6c3ed85,Open Secret,,,sayhello@opensecret.in,917711642852,https://opensecret.in,Mumbai,food,,,,shopify,"['shopify', 'meta_pixel', 'google_ads', 'gtm', 'judgeme']",96.0,SALES_READY,"gap,growth,live,stack","growth_motion,ads_active,ops_stack,ops_pain,stack_plus_gap,high_intent_composite,live_gap_corroborated","[{'type': 'expansion', 'evidence': 'now available in', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'new_products', 'evidence': 'New Launch', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: google_ads, gtm, meta_pixel', 'confidence': 0.8, 'source': 'homepage_html'}]",[],"['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","Web chatbot present on site · Found 89 instances of return_policy references · Found 173 instances of shipping_info references · Found 240 instances of cod_available references · Found 4 instances of contact_page references · expansion: now available in · new_products: New Launch · advertising: Paid ads stack detected: google_ads, gtm, meta_pixel · stack: shopify, meta_pixel, google_ads, gtm, judgeme",live_discovery,,,ready,live_verified_enrichment
edd24c71-2b3c-51cd-9105-88253fd26515,Nicobar Soft Mid,,,care@nicobar.com,+91 8588000150,https://nicobar.com,New Delhi,fashion,,,,shopify,"['shopify', 'meta_pixel', 'google_ads', 'gtm']",96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,hiring_intent,growth_motion,ads_active,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'hiring', 'evidence': 'Work with Us', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'expansion', 'evidence': 'now available in', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'new_products', 'evidence': 'now live', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: google_ads, gtm, meta_pixel', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'hiring_with_support_gap', 'evidence': 'Hiring while support automation gap exists', 'confidence': 0.92, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · Found 219 instances of return_policy references · Found 166 instances of shipping_info references · Found 77 instances of cod_available references · Found 6 instances of contact_page references · hiring: Work with Us · expansion: now available in · new_products: now live · advertising: Paid ads stack detected: google_ads, gtm, meta_pixel · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Hiring while support automation gap exists · stack: shopify, meta_pixel, google_ads, gtm",live_discovery,,,ready,live_verified_enrichment
47955c6b-2e46-50cc-95cd-7e7cbcc253f9,Insight Cosmetics,,,care@insightcosmetics.in,+91-9167109506,https://insightcosmetics.in,New Delhi,beauty,,,,shopify,"['shopify', 'gtm', 'shiprocket', 'judgeme']",96.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,growth_motion,ads_active,ops_stack,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'new_products', 'evidence': 'New Launch', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: gtm', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · Found 170 instances of return_policy references · Found 264 instances of shipping_info references · Found 199 instances of cod_available references · Found 3 instances of contact_page references · new_products: New Launch · advertising: Paid ads stack detected: gtm · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Ops/CRM stack present but no chatbot automation · stack: shopify, gtm, shiprocket, judgeme",live_discovery,,,ready,live_verified_enrichment
6d606d25-5dfe-5b93-b4cb-b46d7ef652e9,The Label Life,,,help@thelabellife.com,915374217817,https://thelabellife.com,Mumbai,home_decor,,,,shopify,"['shopify', 'meta_pixel', 'shiprocket', 'whatsapp_bot']",95.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,ads_active,ops_stack,whatsapp_bot_present,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_support_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'advertising', 'evidence': 'Paid ads stack detected: meta_pixel', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}, {'type': 'wa_bot_without_web_chat', 'evidence': 'Has WhatsApp bot vendor but no web chatbot', 'confidence': 0.55, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · WhatsApp bot/automation vendor detected · Found 116 instances of return_policy references · Found 25 instances of shipping_info references · Found 7 instances of cod_available references · Found 2 instances of contact_page references · advertising: Paid ads stack detected: meta_pixel · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Ops/CRM stack present but no chatbot automation · stack: shopify, meta_pixel, shiprocket, whatsapp_bot",live_discovery,,,ready,live_verified_enrichment
d28a1978-577d-517e-9852-f45ab20422ce,Mufti Jeans,,,support@muftijeans.in,+918976869174,https://muftijeans.in,Mumbai,fashion,,,,shopify,"['shopify', 'gtm', 'shiprocket']",90.0,SALES_READY,"gap,growth,live,reach,stack","chat_gap,growth_motion,ads_active,ops_stack,ops_pain,stack_plus_gap,ads_plus_automation_gap,high_intent_composite,brand_support_plus_cue,phone_plus_context,live_gap_corroborated","[{'type': 'new_products', 'evidence': 'new collection', 'confidence': 0.75, 'source': 'homepage_html'}, {'type': 'advertising', 'evidence': 'Paid ads stack detected: gtm', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}, {'type': 'ops_stack_without_automation', 'evidence': 'Ops/CRM stack present but no chatbot automation', 'confidence': 0.78, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","No chatbot automation on site · Found 317 instances of return_policy references · Found 17 instances of shipping_info references · Found 28 instances of cod_available references · Found 3 instances of contact_page references · new_products: new collection · advertising: Paid ads stack detected: gtm · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · Ops/CRM stack present but no chatbot automation · stack: shopify, gtm, shiprocket",live_discovery,,,ready,live_verified_enrichment
23ac7f71-e7c7-5664-9749-b4dbde53021a,The Bear House,,,support@thebearhouse.com,+918884477728,https://thebearhouse.com,Mumbai,fashion,,,,shopify,"['shopify', 'gtm', 'shiprocket', 'judgeme', 'whatsapp_bot']",86.0,SALES_READY,"gap,growth,live,reach,stack","funding_intent,growth_motion,ads_active,ops_stack,whatsapp_bot_present,ops_pain,stack_plus_gap,high_intent_composite,brand_support_plus_cue,live_gap_corroborated","[{'type': 'advertising', 'evidence': 'Paid ads stack detected: gtm', 'confidence': 0.8, 'source': 'homepage_html'}, {'type': 'funding', 'evidence': 'Series A', 'confidence': 0.75, 'source': 'intent_page:/pages/press'}, {'type': 'expansion', 'evidence': 'New Flagship', 'confidence': 0.75, 'source': 'intent_page:/pages/press'}]","[{'type': 'recent_funding_window', 'evidence': 'Funding / investor signal on site', 'confidence': 0.85, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info', 'cod_available', 'contact_page']","Web chatbot present on site · WhatsApp bot/automation vendor detected · Found 255 instances of return_policy references · Found 79 instances of shipping_info references · Found 179 instances of cod_available references · Found 5 instances of contact_page references · advertising: Paid ads stack detected: gtm · funding: Series A · expansion: New Flagship · Funding / investor signal on site · stack: shopify, gtm, shiprocket, judgeme, whatsapp_bot",live_discovery,,,ready,live_verified_enrichment
fa358418-6a5b-5b16-8332-89e4dbe845e8,Sarishta,,,imagetextile@gmail.com,,https://sarishta.com,Mumbai,home_decor,,,,google_ads,['google_ads'],86.0,SALES_READY,"gap,growth,live,stack","chat_gap,ads_active,ops_pain,ads_plus_automation_gap,high_intent_composite,live_gap_corroborated","[{'type': 'advertising', 'evidence': 'Paid ads stack detected: google_ads', 'confidence': 0.8, 'source': 'homepage_html'}]","[{'type': 'automation_gap_on_ads_brand', 'evidence': 'Growing commerce/ads brand without chatbot automation', 'confidence': 0.9, 'source': 'derived'}, {'type': 'ops_support_gap', 'evidence': 'Returns/COD friction without chatbot coverage', 'confidence': 0.82, 'source': 'derived'}]","['faq_volume', 'return_policy', 'shipping_info']",No chatbot automation on site · Found 3 instances of return_policy references · Found 1 instances of shipping_info references · advertising: Paid ads stack detected: google_ads · Growing commerce/ads brand without chatbot automation · Returns/COD friction without chatbot coverage · stack: google_ads,live_discovery,,,ready,live_verified_enrichment
