id,company,founder_name,founder_role,email,phone,website,city,category,size,employee_estimate,employee_estimate_source,platform,intent_score,grade,why,signal,subject,body,outreach_status,source
ff9ae95c-4137-58e3-aad2-30a6f59d9d95,Bevzilla,,,info@bevzilla.com,917180176327,https://bevzilla.com,New Delhi,food,,33,why_text,shopify,96.0,SALES_READY,No WhatsApp chat on site · No chatbot on site · Found 58 instances of return_policy references · Found 9 instances of shipping_info references,live_discovery,,,ready,live_verified_enrichment
1b0cf8a5-84f2-5a53-8af1-2baa29285189,Nua Woman,,,care@nuawoman.com,918828926608,https://nuawoman.com,Mumbai,personal care,,41,why_text,,96.0,SALES_READY,WhatsApp present on site · No chatbot on site · Found 8 instances of return_policy references · Found 74 instances of shipping_info references,live_discovery,,,ready,live_verified_enrichment
a7fc3bec-56bc-549b-83b6-3b0db7732ed2,The Moms Co,,,hello@themomsco.com,915625854214,https://themomsco.com,Mumbai,personal care,,75,why_text,shopify,96.0,SALES_READY,WhatsApp present on site · No chatbot on site · Found 107 instances of return_policy references · Found 44 instances of shipping_info references,live_discovery,,,ready,live_verified_enrichment
c10742c6-b550-5e16-bcc9-4bf6356484b0,Carmesi,,,care@mycarmesi.com,910710633241,https://mycarmesi.com,Mumbai,personal care,,67,why_text,shopify,96.0,SALES_READY,WhatsApp present on site · No chatbot on site · Found 83 instances of return_policy references · Found 51 instances of shipping_info references,live_discovery,,,ready,live_verified_enrichment
56c4527b-aaad-54f0-ba9e-85813cd3ecc6,Caprese,,,support@vipbags.com,916935003910,https://capresebags.com,Mumbai,fashion,,93,why_text,shopify,94.0,SALES_READY,No WhatsApp chat on site · No chatbot on site · Found 138 instances of return_policy references · Found 49 instances of shipping_info references,live_discovery,,,ready,live_verified_enrichment
abf880be-357e-5073-b19c-ed456be51cb7,The Beard Club,,,support@thebeardclub.com,918229524583,https://thebeardclub.com,Mumbai,personal care,,93,why_text,shopify,94.0,SALES_READY,No WhatsApp chat on site · No chatbot on site · Found 68 instances of return_policy references · Found 119 instances of shipping_info references,live_discovery,,,ready,live_verified_enrichment
754fb5ae-b23d-56cd-8aa8-f325c4d68290,Tjori,,,alerts@tjori.com,917398175180,https://tjori.com,New Delhi,fashion,,117,why_text,shopify,96.0,SALES_READY,No WhatsApp chat on site · No chatbot on site · Found 117 instances of return_policy references · Found 118 instances of shipping_info references,live_discovery,,,ready,live_verified_enrichment
8e2b77df-8795-5c50-a806-ba23c3474b48,AND Designs,,,care@andindia.com,+91 7303030343,https://andindia.com,Mumbai,fashion,,47,why_text,,93.0,SALES_READY,WhatsApp present on site · Found 52 instances of return_policy references · Found 42 instances of shipping_info references,live_discovery,,,ready,live_verified_enrichment
877d836f-10b9-5e14-813f-5f0ab9c9b899,Dressfolk,,,support@dressfolk.com,+919910709611,https://dressfolk.com,Mumbai,fashion,,99,why_text,shopify,76.0,SALES_READY,WhatsApp present on site · Found 127 instances of return_policy references · Found 72 instances of shipping_info references,live_discovery,,,ready,live_verified_enrichment
16ac70aa-3d9f-5fc3-b33c-22e8164159e3,Farmley,,Founder,wecare@farmley.com,912852459156,https://farmley.com,New Delhi,food,,42,icp_midpoint_default,shopify,60.2,QUALIFIED,,,,,ready,comai_buyability_results.json
